fold,n_train,n_test,best_in_sample,best_train_sharpe,best_test_sharpe,test_sharpe_of_median,rank_ic,rank_ic_p
1,750,250,"momentum[lookback=250,skip=5]",0.35068554407223645,-0.19414828852454855,-1.1481575943014477,-0.47368421052631576,0.03487999137949654
2,750,250,"pairs[min_corr=0.75,top_k=40]",0.6023730249196553,1.525693193162846,1.2992635574709506,0.4601503759398496,0.04120071780195445
3,750,250,"pairs[min_corr=0.75,top_k=40]",0.8480903517017586,1.0240656427860961,-1.0994837809450242,0.45714285714285713,0.042718510627877036
4,750,250,"pairs[min_corr=0.75,top_k=40]",1.2520876372003198,1.332162517001507,0.054530331812160986,0.38195488721804516,0.09653857766782023
5,750,250,"pairs[min_corr=0.75,top_k=20]",0.796611513481876,2.048128949802287,0.16848038196277362,0.4451127819548871,0.0492252966921177
